Página	Palabra	Significado
146	debacle	un fracaso repentino e ignominioso;
148	espigado	Que se deja crecer hasta la completa madurez de la semilla y que toma altura.
148	siderurgia	La siderurgia o siderometalurgia es la técnica del tratamiento del mineral de hierro para obtener diferentes tipos de este o de sus aleaciones tales como el acero
148	férrea	Que es de hierro o tiene alguna de sus características.
149	críptico	Que no es comprensible para la mayoría de las personas porque está hecho para ser entendido por unos pocos.
152	abstrusos	Que es de difícil comprensión.
153	luterana	El luteranismo es una de las principales ramas del cristianismo
153	tomista	De santo Tomás de Aquino o relacionado con este filósofo y teólogo.
154	escolástica	Movimiento filosófico y teológico que intentó utilizar la razón, en particular la filosofía de Aristóteles, para comprender el contenido sobrenatural de la revelación cristiana.
155	insuflar	Introducir, soplando o mediante inyección, un gas o una sustancia pulverizada dentro de algo.
159	levita(prenda)	La levita ? es una prenda masculina que cubre el cuerpo hasta casi la rodilla
162	azorado	Es un termino de uso anticuado, que hace alusión como inquieto, preocupado, alarmado, travieso, intranquilo, desasosegado y turbado
162	itinerante	Que va de un lugar a otro sin permanecer mucho tiempo fijo en un mismo lugar.
168	nimios	Que tiene muy poca o ninguna importancia.
168	habilitationschrift	habilitaciones
170	prohijado	Tomar a una persona como hijo dado que no podían tener hijos
171	arengas	Discurso en tono solemne y elevado que se pronuncia para enardecer o levantar los ánimos; especialmente el de carácter militar o político.
172	algarabía	ruido producido por voces alegres y festivas
172	otrora	En un tiempo pasado indeterminado que queda lejano del momento del cual se habla; generalmente contrapone la situación descrita con otra situación anterior.
173	parafernalia	Conjunto de instrumentos o aparatos que se necesitan para un fin determinado.
179	D-day	el día (6 de junio de 1944) en la Segunda Guerra Mundial en que las fuerzas aliadas invadieron el norte de Francia mediante desembarcos en la playa en Normandía; el día en que debe comenzar una operación importante o surtirá efecto un cambio.
180	estrábico	Trastorno en el que los ojos no miran exactamente en la misma dirección al mismo tiempo.
182	impávido	Que hace frente a una situación de peligro o riesgo sin dejarse dominar por el miedo o la angustia.
184	querellas	Oposición o falta de armonía entre dos o más personas.
187	trémula	Tembloroso.
189	conmiseración	Sentimiento de pena y dolor por la desgracia o sufrimiento de alguien.
190	falaz	Que esconde una falacia.
192	acuciosidad	Calidad de acucioso, diligente, solícito.
196	lúdica	Del juego o relacionado con esta actividad.
198	resquicio	Abertura estrecha y alargada que queda entre el quicio y la puerta cuando esta no está cerrada del todo o cierra mal.
201	vorágine	Remolino de gran fuerza e intensidad que se forma en el mar u otra extensión de agua por la acción del viento o las corrientes.
207	ríspida	Que es difícil o costoso de realizar o soportar, por su dureza o violencia, porque requiere mucho esfuerzo o porque causa padecimiento.
208	azuzar	Estimular la realización de determinada cosa, o a una persona para que haga algo.
208	brío	vigor o vivacidad de estilo o desempeño.
209	paladear	Apreciar con detenimiento el sabor de un alimento o una bebida, especialmente cuando agrada o se disfruta.
211	bastión	es un reducto fortificado que se proyecta hacia el exterior del cuerpo principal de una fortaleza
212	demiurgo	En la filosofía platónica y gnóstica, artífice o alma universal que es principio ordenador de los elementos preexistentes.
216	erudición	Conocimiento profundo de alguna materia (en especial, relacionada con las humanidades) adquirido mediante el estudio directo de textos y fuentes.
216	trovador	Poeta provenzal que en la Edad Media componía y recitaba poemas.
218	desvencijado	Hacer que una cosa pierda su firmeza o cohesión separando las partes que la forman.
